name,smiles,logS,mw_ref
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.77,457.4320000000001
Fenfuram,Cc1occc1C(=O)Nc2ccccc2,-3.3,201.22500000000002
citral,CC(C)=CCCC(C)=CC(=O),-2.06,152.237
Picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,278.354
Thiophene,c1ccsc1,-1.33,84.14299999999999
benzothiazole,c2ccc1scnc1c2,-1.5,135.191
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,326.437
Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,272.388
Dieldrin,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,380.913
Rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42,394.42300000000023
2-pyrrolidone,O=C1CCCN1,1.07,85.10600000000001
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.14,162.61899999999997
1-Pentene,CCCC=C,-2.68,70.135
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,218.256
Tetradecane,CCCCCCCCCCCCCC,-7.96,198.39399999999995
2-Chloropropane,CC(C)Cl,-1.41,78.542
2-Methylbutanol,CCC(C)CO,-0.47,88.14999999999999
Benzonitrile,N#Cc1ccccc1,-1.0,103.12399999999997
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,304.35200000000003
2-Undecanol,CCCCCCCCCC(C)O,-2.94,172.312
"2,2',3,4,6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,-7.43,326.437
Lenacil,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999,234.29899999999995
Phorate,CCOP(=S)(OCC)SCSCC,-4.11,260.38599999999997
Phenacetin,CCOc1ccc(NC(=O)C)cc1,-2.35,179.219
Dinitramine,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,322.243
1-Heptanol,CCCCCCCO,-1.81,116.204
Theophylline,Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,180.16699999999997
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,212.249
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,318.0300000000001
Methyl octanoate,CCCCCCCC(=O)OC,-3.17,158.24099999999999
"1,4-Diethylbenzene",CCc1ccc(CC)cc1,-3.75,134.22199999999998
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,288.44
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,300.314
"1,1-Dichloroethylene",ClC(=C)Cl,-1.64,96.94399999999999
1-Methylfluorene,Cc1cccc2c1Cc3ccccc32,-5.22,180.25000000000003
Valeraldehyde,CCCCC=O,-0.85,86.13399999999999
Diphenylamine,N(c1ccccc1)c2ccccc2,-3.5039999999999996,169.227
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,253.367
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,353.4900000000001
1-Iodoheptane,CCCCCCCI,-4.81,226.101
3-Chlorobiphenyl,c1c(Cl)cccc1c2ccccc2,-4.88,188.657
4-Pentene-1-ol,OCCCC=C,-0.15,86.134
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,168.15200000000002
menthol,CC(C)C1CCC(C)CC1O,-2.53,156.269
Isopropyl formate,CC(C)OC=O,-0.63,88.106
2-Heptanol,CCCCCC(C)O,-1.55,116.20399999999998
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.083,214.06199999999998
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,266.098
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,-4.76,346.33900000000017
"2,7-dimethylquinoline",c2c(C)cc1nc(C)ccc1c2,-1.94,157.216
1-Octyne,CCCCCCC#C,-3.66,110.19999999999999
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-2.17,236.27099999999993
Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,228.29399999999998
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,261.11899999999997
"2,2',3,3',5,6-PCB",Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-8.6,360.88200000000006
2-Methylphenol,Cc1ccccc1O,-0.62,108.13999999999999
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05,128.259
"1,4-Dimethylnaphthalene",Cc1ccc(C)c2ccccc12,-4.14,156.228
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,242.321
2-Pentanone,CCCC(=O)C,-0.19,86.13399999999999
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-9.15,429.77200000000016
Methyl butyrate,CCCOC(=O)CC,-0.82,116.15999999999998
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,394.43900000000014
p-Aminophenol,Nc1ccc(O)cc1,-0.8,109.12799999999999
Benznidazole,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,260.253
"Atovaquone(0,430mg/ml) - neutral",OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,366.84400000000016
Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,229.71499999999997
Pyrazinamide,NC(=O)c1cnccn1,-0.667,123.11499999999998
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,237.09699999999998
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl,-5.27,223.102
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,-3.38,238.15899999999996
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,284.09799999999996
Camphor,CC1(C)C2CCC1(C)C(=O)C2,-1.96,152.237
